Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Desenvolvimento de Tecnologia Aplicada ao Processamento de Minerais Críticos;"O projeto será conduzido pelo SENAI CIMATEC em parceria com a BORBOREMA RECURSOS ESTRATÉGICOS e tem como objetivo promover a modernização e a transformação digital de processos aplicados ao processamento hidrometalúrgico de minerais críticos, por meio da implantação de uma planta piloto integrada a soluções digitais de monitoramento, rastreabilidade e análise de dados. A iniciativa está alinhada aos princípios da Indústria 4.0, buscando aumentar a eficiência operacional, a confiabilidade das informações e a capacidade de gestão dos processos industriais e laboratoriais.
A proposta permitirá maior integração entre as etapas operacionais, proporcionando melhor controle de processos, acompanhamento de indicadores em tempo real e suporte qualificado à tomada de decisão. A utilização de ferramentas digitais contribuirá para a redução de variabilidades operacionais, aumento da produtividade e melhoria da qualidade das informações geradas durante os ensaios e avaliações técnicas.
Entre os principais resultados esperados estão o fortalecimento da capacidade tecnológica e operacional, a ampliação da rastreabilidade e da confiabilidade dos dados, além da criação de uma base estruturada para futuras aplicações industriais e de pesquisa relacionadas ao processamento de minerais críticos. O projeto também contribuirá para o avanço de soluções mais eficientes, sustentáveis e alinhadas às demandas da transição energética e da inovação industrial.";Em andamento;BORBOREMA MINERACAO LTDA;Pequena;SP;3;Não é CEIS;18/06/2026;CIMATEC;4;6;Indústria de base;Mineração e extração de minerais;Integração de Sistemas;Integração ponta a ponta (end-to-end)
IA na Patologia: Pré-Laudos para Exames Cérvico-Vaginais;"Este projeto propõe o desenvolvimento de uma solução de Inteligência Artificial voltada para a automação de pré-laudos em exames cérvico-vaginais (Papanicolaou), expandindo tecnologias de automação em patologia já
estabelecidas para o domínio da citopatologia. Através da integração de modelos de Deep Learning e infraestrutura de Cloud Computing, a iniciativa visa realizar a triagem e análise automatizada de lâminas digitalizadas (WSI) em meio convencional e líquido. O objetivo central é fornecer suporte à decisão clínica, identificando áreas críticas e sugerindo classificações preliminares para elevar a eficiência e a precisão no diagnóstico do câncer de colo do útero e de suas lesões precursoras. Aplicando o método de pesquisa-ação, o projeto busca validar um modelo de negócio inovador e escalável, entregando um Produto Mínimo Viável (MVP) funcional para validação clínica em um mercado de alta demanda";Em andamento;AS SOLUCOES EM INFORMATICA LTDA;Microempresa;RN;2;Não é CEIS;20/05/2026;METRÓPOLE DIGITAL - UFRN;3;6;Complexo industrial da saúde;Assistência à saúde;Inteligência artificial;Aprendizado Profundo (Deep Learning)
A eficiência dos bioinsumos amazônicos para a produção e desenvolvimento de mudas de espécies florestais e agrícolas;A bioeconomia amazônica destaca-se como estratégia para o desenvolvimento sustentável ao integrar o uso racional da biodiversidade, a geração de valor econômico e a conservação dos recursos naturais. Nesse cenário, os bioinsumos amazônicos surgem como alternativas aos insumos sintéticos na produção florestal e agrícola, especialmente na etapa de produção de mudas, contribuindo para maior eficiência produtiva, redução de impactos ambientais e fortalecimento de cadeias produtivas locais baseadas em recursos renováveis. Diante desse cenário, o presente projeto terá como objetivo validar a eficiência agronômica de um bioinsumo de origem amazônica aplicado à produção e ao desenvolvimento de mudas de espécies florestais e agrícolas, visando gerar evidências técnicas e científicas que subsidiem seu processo de regularização junto ao Ministério da Agricultura e Pecuária (MAPA). A metodologia será conduzida conforme os critérios técnicos e normativos exigidos pelo Ministério da Agricultura e Pecuária (MAPA) para validação de eficiência agronômica de bioinsumos. Os ensaios experimentais serão realizados por instituição credenciada no MAPA, em conformidade com as Instruções Normativas nº 36/42 e nº 53, contemplando a avaliação da viabilidade e eficiência agronômica do bioinsumo aplicado à produção de mudas florestais e agrícolas. Os estudos seguirão delineamento experimental e análises estatísticas adequadas, sendo conduzidos de acordo com as Boas Práticas de Laboratório, com reconhecimento do INMETRO, e resultarão na elaboração de relatório técnico-científico destinado a subsidiar o processo de registro do produto junto ao MAPA. Espera-se que o estudo comprove a eficiência agronômica do bioinsumo amazônico na produção de mudas florestais e agrícolas, gerando dados técnicos robustos que subsidiem seu processo de registro junto ao MAPA. Como impacto tecnológico, destaca-se a validação e inserção de um bioinsumo de origem amazônica no mercado formal, com potencial para ampliar sua adoção em sistemas produtivos, reduzir o uso de insumos sintéticos e fortalecer a bioeconomia regional por meio da inovação baseada na biodiversidade.;Em andamento;BIOAMAZON LTDA;Microempresa;AM;1;Não é CEIS;09/02/2026;G-Bioforest - UFOPA;4;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Solução baseada em IA e gamificação como abordagem de auxílio na elaboração de escrita de Projeto Vida e Profissão (PVP) ao público jovem;Parceria entre o Centro de Pesquisas Avançadas Wernher von Braun e as empresas REFRESH, FORTUNE e DOMINANTE para o desenvolvimento de uma solução baseada em Inteligência Artificial (IA) e gamificação como abordagem de auxílio na elaboração de escrita de Projeto Vida e Profissão (PVP) ao público jovem. A gamificação inteligente é planejada com uma linguagem natural e normatizada do jovem, de acordo com as caraterísticas personalizadas de cada perfil e com geração de engajamento necessário e ambientação de usabilidade agradável na construção de PVP.;Em andamento;REFRESH TECNOLOGIA LTDA;Microempresa;MG;1;Não é CEIS;09/02/2026;VBL IoT E INDÚSTRIA 4.0 - Von Braun;3;6;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Processamento de Linguagem Natural (PLN)
POLYFOOD;Desenvolver um material polimérico de grau alimentício, antiaderente e resistente à abrasão, voltado à aplicação em cilindros laminadores de massas, com processabilidade adequada por injeção e potencial de substituição de componentes metálicos.;Cancelado;AND INDUSTRIA DE PLASTICOS E SERVICOS LTDA.;Microempresa;RS;2;Não é CEIS;20/02/2026;Graphene-UCS;3;4;Alimentos e bebidas;Alimentos;Manufatura e materiais avançados;Materiais Inteligentes e Multifuncionais
NIOBATCH;Desenvolvimento de metodologias de formulação de compostos termoplásticos com um mineral estratégico nacional para novas aplicações industriais.;Em andamento;NIONE LTDA;Microempresa;SC;2;Não é CEIS;20/02/2026;Polímeros;3;5;Indústria de base;Indústria química;Manufatura e materiais avançados;Materiais Compósitos
Desenvolvimento de Processo para Precursor de Hormônio Feminino;"Este projeto visa mitigar a dependência externa do setor de saúde brasileiro por meio da
nacionalização da produção de Insumos Farmacêuticos Ativos (IFAs). Atualmente, o Brasil
importa mais de 90% dessas matérias-primas, enfrentando uma vulnerabilidade total no
segmento de hormônios esteroides essenciais para contraceptivos e terapias hormonais
, uma classe de fármacos de alta potência sem fabricação ativa no país. Para reverter esse
cenário, a iniciativa foca no desenvolvimento de uma rota sintética inovadora e nacional para
a obtenção de um precursor de hormônio feminino. Utilizando processos avançados de
química fina, o projeto busca viabilizar uma síntese que combine viabilidade econômica e
rigorosa segurança operacional. Desenvolvida no ecossistema do CIETEC (USP/IPEN) em
parceria com indústrias farmoquímicas nacionais e com o apoio da Unidade EMBRAPII, a
proposta visa transferir essa tecnologia diretamente para o mercado.";Em andamento;FLUXOFARMA PESQUISA E DESENVOLVIMENTO LTDA;Microempresa;SP;1;Não é CEIS;29/07/2026;IQSint-USP;3;3;Complexo industrial da saúde;Produtos farmacêuticos e insumos estratégicos;Tecnologias químicas;Química Fina e Orgânica
Estudos para Viabilização de Desenvolvimento de Tubetes Verdes/Inteligentes/Ativos para Mudas de Plantas.;O projeto tem como objetivo estudar e viabilizar o desenvolvimento de tubetes verdes/inteligentes/ativos para a produção de mudas de plantas, por meio do levantamento de rotas tecnológicas e da caracterização físicomecânica de tubetes e formulações existentes, avaliando materiais de base celulósica, aditivos e tecnologias associadas, de modo a identificar soluções sustentáveis que atendam aos requisitos de desempenho atualmente exigidos e subsidiem a tomada;Em andamento;G6 EMBALAGENS LTDA;Pequena;SP;1;Não é CEIS;24/02/2026;IPT-Materiais;3;6;Produção agropecuária;Produção vegetal;Manufatura e materiais avançados;Biomateriais e Materiais Renováveis
ESTRUTURAS AGÊNTICAS PARA INTELIGÊNCIA DE DADOS MULTIMODAL E EXPLICÁVEL;O projeto busca evoluir o DAISEE de uma interface de linguagem natural para um framework de agentes autônomos voltado à análise de dados. A proposta é reduzir a distância entre líderes de negócios e bancos de dados corporativos, criando um sistema de IA capaz de raciocinar, planejar e agir como parceiro analítico.;Em andamento;N DA SILVA LEONHART INTELIGENCIA ARTIFICIAL;Microempresa;PR;1;Não é CEIS;02/03/2026;CEIA-UFG;7;8;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
"SISTEMA DE MONITORAMENTO INTELIGENTE COM IA PARA ACOMPANHAMENTO E ACLIMATAÇÃO DE PÓS-LARVAS DE CAMARÃO BASEADO EM IMAGENS E DADOS AMBIENTAIS""";O projeto visa o desenvolvimento de sistema inteligente com IA para monitoramento de pós-larvas de camarão em tanques de aclimatação. A solução integrará visão computacional, análise morfométrica, rastreamento de motilidade, predição de eventos críticos e interpretação via LLM, fornecendo contagem automática, avaliação de saúde e alertas em tempo real para aumentar precisão, rastreabilidade e automação na aquicultura.;Em andamento;N J C NOBRE;Microempresa;CE;1;Não é CEIS;09/03/2026;IF-CE;4;4;Produção agropecuária;Produção pecuária;Inteligência artificial;Visão Computacional
Nanossensor para monitoramento de hidrogênio em óleo isolante;Desenvolver, fabricar e validar um nanossensor inovador, baseado em nanomateriais avançados, para o monitoramento seletivo e contínuo de hidrogênio (H2) dissolvido em óleo isolante, visando aplicações em sistemas de manutenção preditiva e monitoramento on-line de ativos do setor elétrico.;Em andamento;ELYON MANUFACTURING SOLUTIONS LTDA;Pequena;SP;1;Não é CEIS;10/03/2026;CTNano-UFMG;4;6;Infraestrutura e SIUP;Redes elétricas;Tecnologias ópticas e sensoriamento;Sensores Químicos e Biológicos
Nanofosfatos de  Cálcio para Otimização da Disponibilidade de Fósforo para Nutrição  Animal;"Este projeto tem como objetivo desenvolver e avaliar uma nova abordagem tecnológica aplicada a fontes minerais utilizadas na nutrição animal, buscando aprimorar a eficiência de aproveitamento de nutrientes essenciais. A iniciativa contempla o desenvolvimento e a análise de materiais inovadores, com avaliação comparativa frente a soluções atualmente disponíveis no mercado, por meio de estudos laboratoriais e validações experimentais controladas. A proposta visa contribuir para o aumento da eficiência produtiva e para a sustentabilidade dos sistemas de produção animal, 
fortalecendo a competitividade tecnológica do setor.";Em andamento;AGRO LS BRASIL DISTRIBUIDORA DE PRODUTOS AGROPECUARIOS LTDA;Pequena;SC;1;Não é CEIS;12/03/2026;SENAI ISI ELETROQUÍMICA;3;4;Produção agropecuária;Produção pecuária;Manufatura e materiais avançados;Nanomateriais e Engenharia de Superfícies
Ampliação da base bioenergética do Brasil: Implantação de banco de germoplasma de espécie oleaginosa estratégica para cultivo em sistema consorciado sustentável;O projeto pretende desenvolver uma base de produção de mudas elite de uma espécie oleaginosa alternativa perene de produtividade superior.;Em andamento;AGENCIAAGRO DIGITAL LTDA;Pequena;RS;1;Não é CEIS;11/03/2026;BIOTEC-CETENE;3;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Determinação de curva de batimento cardíaco e propriedades através da determinação oximetria usando técnicas digitais acopladas ao telefone celular;Determinação de curva de batimento cardíaco e propriedades através da determinação oximetria usando técnicas digitais acopladas ao telefone celular;Em andamento;BEHEART TECNOLOGIA E DESENVOLVIMENTO HUMANO LTDA;Microempresa;SP;1;Não é CEIS;25/03/2026;USP-IFSC;5;6;Complexo industrial da saúde;Assistência à saúde;Tecnologias ópticas e sensoriamento;Sistemas de Imagem e Visão Computacional
Sistema de Visão Inteligente para Inspeção de Costura em  Peças de Banho;"Este projeto tem como objetivo o desenvolvimento e a validação de uma solução de inspeção automatizada baseada em visão computacional e inteligência artificial para a verificação da
qualidade da costura longitudinal em peças de banho produzidas pela Buddemeyer. A proposta envolve a aquisição controlada de imagens em ambiente fabril, o desenvolvimento de modelos de aprendizado profundo capazes de detectar e classificar defeitos de costura, e a execução da inferência em computação de borda, garantindo baixa latência e operação compatível com o ritmo produtivo. 
A solução proposta busca reduzir a dependência de inspeção manual, aumentar a padronização e confiabilidade do controle de qualidade e fornecer rastreabilidade por meio do registro estruturado dos resultados de inspeção. Do ponto de vista científico-tecnológico, o projeto aborda desafios relevantes de inspeção visual em produtos têxteis, caracterizados por variações de textura, cor e padrões, além de defeitos sutis e de baixa frequência. Como resultado, espera-se não apenas ganhos operacionais e redução de custos, mas também a criação de uma base de dados e conhecimento que apoie a melhoria contínua do processo produtivo e a evolução da maturidade digital da indústria.";Em andamento;INSPACE SOLUCOES TECNOLOGICAS LTDA;Microempresa;PE;2;Não é CEIS;27/03/2026;INSTITUTO ATLÂNTICO;3;6;Outras indústrias de transformação;Têxtil, vestuário e calçados;Inteligência artificial;Visão Computacional
Avanço Tecnológico em Nanofertilizantes Foliares;"O setor agrícola busca tecnologias que aumentem a eficiência do uso de nutrientes como magnésio e boro, já que as formas tradicionais de aplicação apresentam perdas e baixa absorção. Nesse contexto, sistemas nanoparticulados têm se destacado por proporcionar maior biodisponibilidade, liberação controlada e melhor retenção foliar, além de estabilidade físico-química e potencial para integração com práticas agrícolas existentes.
Nanopartículas de óxidos metálicos, pela alta área superficial e reatividade, apresentam vantagens como maior eficiência nutricional, melhor penetração nos tecidos vegetais e possível ação complementar no manejo agrícola. Em projeto anterior, nanofertilizantes foliares mostraram resultados agronômicos promissores, porém testados apenas em ambiente controlado e sem avaliação de compatibilidade com defensivos — prática comum no campo. Além disso, alguns insumos utilizados elevaram o custo das formulações.
O novo projeto propõe avançar essa tecnologia por meio de validações em campo para soja e milho, análise da estabilidade das misturas com defensivos e otimização das formulações visando reduzir custos. A iniciativa busca ampliar o nível de maturidade tecnológica dos nanofertilizantes, tornando-os mais eficientes, competitivos e aderentes às necessidades reais do agronegócio.";Em andamento;47.537.704 INOVA SIMPLES (I.S.);Microempresa;MG;2;Não é CEIS;01/04/2026;IF-TM;5;6;Produção agropecuária;Produção vegetal;Manufatura e materiais avançados;Nanomateriais e Engenharia de Superfícies
Desenvolvimento de potencializador de herbicida, inseticida e fungicida a partir de compostos orgânicos;O presente projeto tem como objetivo desenvolver e validar um potencializador de herbicidas, inseticidas e fungicidas a partir de compostos orgânicos naturais, como extrato pirolenhoso e óleos de andiroba, copaíba e citronela. A formulação visa amplificar a eficiência dos defensivos agrícolas, permitindo a redução das doses aplicadas e minimizando impactos ambientais. O projeto inclui a caracterização das formulações e testes em laboratório, casa de vegetação e campo nas culturas de soja e canola, promovendo uma solução inovadora e sustentável para a agricultura.;Em andamento;BIOATIVOS COMERCIO DE FERTILIZANTES LTDA;Microempresa;RS;2;Não é CEIS;31/03/2026;InovaAgro-UFPel;3;5;Produção agropecuária;Produção vegetal;Tecnologias químicas;Fertilizantes e defensivos agrícolas
POLYFOOD NEW;Desenvolver um material polimérico de grau alimentício, antiaderente e resistente à abrasão, voltado à aplicação em cilindros laminadores de massas, com processabilidade adequada por injeção e potencial de substituição de componentes metálicos.;Em andamento;AND INDUSTRIA DE PLASTICOS E SERVICOS LTDA.;Microempresa;RS;2;Não é CEIS;18/05/2026;Graphene-UCS;3;4;Alimentos e bebidas;Alimentos;Manufatura e materiais avançados;Materiais Inteligentes e Multifuncionais
Tecnologias para otimização do desempenho fisiológico de plantas cultivadas;A cultura da soja é frequentemente impactada por estresses ambientais, como seca e altas temperaturas, além de efeitos colaterais de herbicidas, que podem comprometer seu desenvolvimento e produtividade. Para reduzir esses impactos, há um aumento no uso de insumos com propriedades bioestimulantes, que atuam na melhoria de processos fisiológicos das plantas.;Em andamento;OXIKEM SOLUCOES AGRICOLAS LTDA;Microempresa;SP;1;Não é CEIS;01/04/2026;IF-Goiano;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
OTIMIZAÇÃO NO MAPEAMENTO DE ÁREAS POTENCIAIS PARA A EXECUÇÃO DE PROJETOS DE REDD+ VIA MACHINE LEARNING COM DADOS DE SATÉLITE E MODELOS HÍBRIDOS;"A exploração sustentável dos recursos naturais perpassa por informações acuradas sobre o potencial de serviços ecossistêmicos que podem ser ofertados por territórios, comunidades e localidades no interior do bioma Amazônia, fazendo com que as comunidades gerem renda para seu desenvolvimento socioeconômico ao mesmo tempo que preservam o ambiente natural, seus costumes, tradições e colham os frutos da Bioeconomia sem degradar a natureza. Os entregáveis serão: Pipeline de Dados Geoespaciais; Base de Dados Georreferenciada para REDD+ com elevado potencial de geração de créditos de carbono na região oeste do Pará; o modelo de diminuição de falsos positivos para áreas degradadas em imagens de satélite, Algoritmo de Classificação e Priorização de Áreas; Estudo de Caso em Área Piloto.";Em andamento;SANTOS, SILVA E CARVALHO LTDA;Microempresa;PA;1;Não é CEIS;02/06/2026;G-Bioforest - UFOPA;3;6;Produção agropecuária;Gestão e manejo agropecuário;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
Inteligência Artificial empresarial consultiva: explicável, escalável e preditiva (MatchIT III);Este projeto tem como objetivo geral a pesquisa e o desenvolvimento de uma nova etapa evolutiva de agentes de Inteligência Artificial conversacional de perfil consultivo empresarial, integrados à plataforma SaaS Transform<IT>, com foco na sustentação, otimização e preparação de futuras gerações de sistemas inteligentes aplicados à gestão de tecnologia, inovação e negócios. O projeto busca investigar e aprimorar arquiteturas de orquestração de agentes, uso flexível de múltiplos modelos de linguagem (LLMs), mecanismos de explicabilidade analítica e capacidades preditivas, viabilizando a atuação desses agentes em fluxos consultivos complexos, adaptáveis e orientados a contextos organizacionais dinâmicos.;Em andamento;MATCH IT SERVICOS DE TECNOLOGIA LTDA;Pequena;SP;4;Não é CEIS;29/05/2026;CEIA-UFG;7;7;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Inteligência artificial;Agentes Autônomos e Sistemas Multiagente
Modularização de kits de eletrificação veicular para aplicação comercial;Este projeto tem como objetivo desenvolver e validar kits modulares de hibridização elétrica para caminhões e ônibus, que funcionam como uma solução retrofit de fácil instalação, complementando o motor a combustão com propulsão elétrica adicional. A proposta busca padronizar a tecnologia já existente, torná-la mais leve, segura e escalável, e preparar sua entrada no mercado com viabilidade técnica, econômica e ambiental.;Em andamento;ELETROTRAC SOLUCOES EM ELETRIFICACAO LTDA;Microempresa;SC;2;Não é CEIS;01/05/2026;SENAI ISI ELETROQUÍMICA;5;8;Veículos e sistemas autopropelidos;Veículos pesados;Integração de Sistemas;Integração ponta a ponta (end-to-end)
Prognose de Rendimento Celulósico;"Historicamente, a produção madeireira da Smurfit WestRock Brasil foi destinada tanto à produção de celulose quanto ao fornecimento de toras para a indústria madeireira. No entanto, uma recente mudança estratégica redirecionou todo o volume de madeira produzida exclusivamente para a
produção de celulose. Essa mudança impôs novas demandas ao manejo florestal, exigindo transformações significativas nas práticas silviculturais. Nesse contexto, torna-se fundamental reavaliar os parâmetros de crescimento, produção e rendimento das florestas da empresa, de forma a alinhar o manejo à nova realidade de produção focada exclusivamente em celulose.
Para isso, torna-se necessário o desenvolvimento de modelos capazes de integrar a modelagem volumétrica com variáveis relacionadas à qualidade tecnológica da madeira e ao rendimento de celulose. O uso de metodologias baseadas em linhas de fronteira de produtividade (Frontier Analysis) surge como uma alternativa promissora, ao permitir estimar o potencial máximo de produção em diferentes condições de sítio, identificando fatores limitantes e estratos de alta performance.";Em andamento;RIGESA CELULOSE PAPEL E EMBALAGENS LTDA;Média;SC;2;Não é CEIS;22/04/2026;UFV - Fibras Florestais;4;6;Produção agropecuária;Produção vegetal;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
EFENSE LEAF PROTECTION;Desenvolver um biofungicida para cultura da soja a partir do uso de bactérias.;Em andamento;EFENSE EDEIA LTDA;Pequena;GO;1;Não é CEIS;03/07/2026;IF-Goiano;3;4;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Ecossistema de Dados Multi-fonte;Desta forma, o objetivo deste projeto é estabelecer a infraestrutura de dados relacional-geoespacial e os protocolos de integração multi-fonte (campo, satélite e econômico) que servirão de base para um Sistema Integrado de Gestão Florestal (SIGF), com arquitetura SaaS (Software as a Service). O objetivo central consiste na criação de um banco de dados de múltiplas fontes que reflita o ativo florestal, capaz de unificar o cadastro fundiário e silvicultural à modelagem preditiva e planejamento florestal.;Em andamento;AUTO FOREST MANAGEMENT LTDA.;Microempresa;MG;1;Não é CEIS;11/05/2026;UFV - Fibras Florestais;3;5;Produção agropecuária;Gestão e manejo agropecuário;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
Ecossistema de Dados Multi-fonte;Desta forma, o objetivo deste projeto é estabelecer a infraestrutura de dados relacional-geoespacial e os protocolos de integração multi-fonte (campo, satélite e econômico) que servirão de base para um Sistema Integrado de Gestão Florestal (SIGF), com arquitetura SaaS (Software as a Service). O objetivo central consiste na criação de um banco de dados de múltiplas fontes que reflita o ativo florestal, capaz de unificar o cadastro fundiário e silvicultural à modelagem preditiva e planejamento florestal.;Em andamento;44.429.544 FABIANA BARCELLOS POUBEL SALIM;Microempresa;ES;1;Não é CEIS;11/05/2026;UFV - Fibras Florestais;3;5;Produção agropecuária;Gestão e manejo agropecuário;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
Registro  Inteligente  de  Não-Conformidades  por  Voz;Desenvolver uma ferramenta inteligente para registro de não-conformidades por voz, integrada aos sistemas e bases já existentes, de  forma  a  capturar  a  ocorrência  no  momento  em  que  ela  acontece,  estruturar automaticamente seu conteúdo e enriquecer o registro com informações contextuais e históricas, aumentando a acurácia, a consistência e o valor analítico da base gerada.;Em andamento;VOLVO DO BRASIL VEICULOS LTDA;Grande;PR;3;Não é CEIS;04/05/2026;LACTEC;3;6;Processos industriais;Qualidade, riscos e conformidade;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Projeto I9 - ECOCASA Ciclo II;A I9 - Inovações e projetos Ltda busca desenvolver um novo conceito de sistema construtivo modular, com ênfase no sistema de paredes e suas interfaces (cobertura, esquadrias, piso e instalações elétricas e hidrossanitários). O sistema de paredes é formado por módulos poliméricos (componente de vedação) e perfis metálicos verticais (componente estrutural). O sistema de parede deve ser testado segundo as diretrizes da NBR 15575-4/2021, para adequação do sistema a aplicação em habitações residenciais.;Em andamento;I9 INOVACOES E PROJETOS LTDA;Microempresa;BA;2;Não é CEIS;10/03/2026;CIMATEC;5;6;Infraestrutura e SIUP;Construção de edifícios;Manufatura e materiais avançados;Desenvolvimento de Produtos e Protótipos Funcionais
IGAPÓ 2: Plataforma Inteligente para Supervisão e Automação de Sistemas de Compostagem;A solução proposta visa contribuir com o processo de geração de adubo orgânico utilizando composteiras mecanizadas. Por meio de sistemas integrados de automação, computação e plataformas web, o operador recebe linhas de tendência e sugestões de atitudes precisas a serem tomadas baseadas em inteligência artificial. Complementando o sistema de instrumentação existente, a implementação de um módulo de comunicação remota permite o ajuste de parâmetros da composteira à distância. Como resultado, amplia-se a autonomia do processo de compostagem, reduzindo a necessidade de expertise técnica e a presença física constante do operador.;Em andamento;IGAPO MEIO AMBIENTE LTDA;Pequena;RS;2;Não é CEIS;04/05/2026;ITEC-FURG;3;6;Infraestrutura e SIUP;Gestão de resíduos sólidos urbanos;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Formulação  Granulométrica Inteligente de Calcário Agrícola Baseada em  Modelagem Cinética da Neutralização da Acidez do Solo;O projeto tem como objetivo avançar no entendimento e na otimização da eficiência de corretivos agrícolas utilizados na correção da acidez do solo, considerando as condições atuais de manejo, especialmente em sistemas de plantio direto. A iniciativa busca integrar abordagens experimentais e ferramentas de modelagem para gerar conhecimento aplicado sobre o comportamento de materiais corretivos em solo, permitindo aprimorar critérios técnicos associados à sua utilização. Como resultado, espera-se contribuir para o aumento da eficiência agronômica, melhoria do uso de insumos agrícolas e geração de soluções tecnológicas com potencial de aplicação industrial, promovendo maior sustentabilidade e competitividade no setor agropecuário.;Em andamento;NT MADEIRAS LTDA;Pequena;PR;1;Não é CEIS;30/04/2026;SENAI ISI ELETROQUÍMICA;3;4;Produção agropecuária;Produção vegetal;Tecnologias químicas;Fertilizantes e defensivos agrícolas
PLATAFORMA DE APOIO A RECURSOS HUMANOS UTILIZANDO INTELIGÊNCIA ARTIFICAL;RHIA é uma plataforma para recrutamento e seleção que reduz tempo e custo, melhora a qualidade dos shortlists e padroniza etapas. Reúne quatro módulos: ingestão/estruturação de currículos, padronização de descrições de vagas, ranking explicável com banco de talentos pesquisável e entrevistas automatizadas com relatórios. Um dashboard central configura empresas, políticas e métricas, com aderência à LGPD.;Em andamento;JUBILATO - SOLUCOES EM GESTAO EMPRESARIAL LTDA;Microempresa;CE;1;Não é CEIS;11/05/2026;IF-CE;5;5;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Avaliação  potencial de ingredientes algais encapsulados para enriquecimento  de dietas para nutrição animal;O projeto propõe o desenvolvimento de soluções tecnológicas baseadas no uso de biomassa algal para aplicação em nutrição animal, com foco na melhoria da estabilidade e funcionalidade de compostos bioativos em dietas avícolas. A iniciativa explora o potencial de diferentes espécies de algas como fontes de ingredientes de alto valor agregado, aliando abordagens de processamento e estruturação para obtenção de sistemas mais estáveis e eficientes. A proposta está alinhada às demandas por inovação e sustentabilidade no setor, contribuindo para o avanço de tecnologias aplicadas à alimentação animal e à valorização de recursos naturais.;Em andamento;VERDEMAR FAZENDA MARINHA LTDA;Pequena;SC;1;Não é CEIS;08/05/2026;SENAI ISI ELETROQUÍMICA;4;5;Produção agropecuária;Produção pecuária;Biotecnologia;Biotecnologia Marinha (azul)
HUB DE GEOINTELIGÊNCIA APLICADA AO SOLO;O projeto tem como objetivo desenvolver uma solução tecnológica baseada em Inteligência Artificial e dados geoespaciais para apoiar a análise de propriedades do solo relevantes a estudos geotécnicos. A iniciativa busca ampliar a confiabilidade técnica das avaliações, contribuir para a redução de riscos e custos em projetos de infraestrutura e fortalecer a aplicação de tecnologias avançadas no contexto nacional.;Em andamento;SPIN TECH LTDA;Microempresa;MG;1;Não é CEIS;23/07/2026;IF-CE;4;4;Infraestrutura e SIUP;Obras de infraestrutura;Inteligência artificial;Aprendizado de Máquina (Machine Learning)
DESENVOLVIMENTO DE MATERIAL TERMOCRÔMICO E PIEZOCRÔMICO PARA APLICAÇÃO EM SENSOR;Desenvolver  um  protótipo  de  sensor  termocrômico  e  piezocrômico  irreversível,  utilizando  duas formulações  de  compostos  do  tipo  CuMo 1-xWxO4,  para  o  monitoramento  de  temperatura  e compressão/impacto excessivos, visando à rastreabilidade de condições adversas.;Em andamento;INTELLI INDUSTRIA DE TERMINAIS ELETRICOS LTDA;Média;SP;1;Não é CEIS;20/05/2026;LACTEC;3;4;Processos industriais;Qualidade, riscos e conformidade;Manufatura e materiais avançados;Materiais Inteligentes e Multifuncionais
